,ID_hecho,FECHA,ROL,VEHICULO_FALLECIDO,SEXO,EDAD,N_VICTIMAS,HORA_HECHO,TIPO_DE_CALLE,COMUNA,LONGITUD,LATITUD,PARTICIPANTES,VICTIMA,ACUSADO
0,2016-0001,2016-01-01,CONDUCTOR,MOTO,MASCULINO,19,1,4,AVENIDA,8,-58.47533969,-34.68757022,MOTO-AUTO,MOTO,AUTO
1,2016-0002,2016-01-02,CONDUCTOR,AUTO,MASCULINO,70,1,1,GRAL PAZ,9,-58.50877521,-34.66977709,AUTO-PASAJEROS,AUTO,PASAJEROS
2,2016-0003,2016-01-03,CONDUCTOR,MOTO,MASCULINO,30,1,7,AVENIDA,1,-58.39040293,-34.63189362,MOTO-AUTO,MOTO,AUTO
3,2016-0004,2016-01-10,CONDUCTOR,MOTO,MASCULINO,18,1,0,AVENIDA,8,-58.46503904,-34.68092974,MOTO-SD,MOTO,SD
4,2016-0005,2016-01-21,CONDUCTOR,MOTO,MASCULINO,29,1,5,AVENIDA,1,-58.38718297,-34.6224663,MOTO-PASAJEROS,MOTO,PASAJEROS
5,2016-0008,2016-01-24,CONDUCTOR,MOTO,MASCULINO,30,1,18,AVENIDA,8,-58.44451316,-34.68475866,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
6,2016-0009,2016-01-24,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,29,1,19,CALLE,11,-58.50095869,-34.6082544,MOTO-AUTO,MOTO,AUTO
7,2016-0010,2016-01-29,CONDUCTOR,MOTO,MASCULINO,18,1,15,GRAL PAZ,9,-58.50877521,-34.66977709,MOTO-AUTO,MOTO,AUTO
8,2016-0012,2016-02-08,CONDUCTOR,MOTO,MASCULINO,22,1,1,AVENIDA,1,-58.38048577,-34.61303893,MOTO-CARGAS,MOTO,CARGAS
9,2016-0013,2016-02-10,PEATON,PEATON,MASCULINO,16,1,11,AVENIDA,1,-58.39114932,-34.62477387,PEATON-AUTO,PEATON,AUTO
10,2016-0015,2016-02-14,PEATON,PEATON,FEMENINO,16,1,5,AVENIDA,15,-58.4376002,-34.59912758,PEATON-AUTO,PEATON,AUTO
11,2016-0016,2016-02-14,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,19,1,22,AVENIDA,4,-58.36882665,-34.64291993,MOTO-AUTO,MOTO,AUTO
12,2016-0017,2016-02-15,PEATON,PEATON,MASCULINO,59,1,16,AVENIDA,8,-58.44989671,-34.65970435,PEATON-MOTO,PEATON,MOTO
13,2016-0019,2016-02-17,PEATON,PEATON,FEMENINO,65,1,9,CALLE,9,-58.50990884,-34.65468721,PEATON-PASAJEROS,PEATON,PASAJEROS
14,2016-0020,2016-02-17,PEATON,PEATON,MASCULINO,59,1,16,CALLE,1,-58.37952223,-34.60653282,PEATON-AUTO,PEATON,AUTO
